Year,SQC,Definition ,Source,Project Domain,Reference,Technical,Environmental,Economic,Social
,Functional appropriateness,"The degree to which a system’s functions reduce manual effort, streamline processes, and lower operational costs by enabling efficient task completion.",Group 2024-1000,Healthcare,[ISO/IEC 25010:2011],,,X,
,,The extent to which a system’s functions support users in completing their tasks accurately and effectively.,,,,X,,,
,Accessibility,The degree to which a system can be used by people with the widest range of characteristics and capabilities,Group 20241000,Healthcare,[ISO/IEC 25010:2011],,,,X
,,The degree to which a product or system is accessible to a wide range of users,Group 20241200,Education,,,,,
,,,Group 20249310,Digital Local Communities,,,,,
,,It defines whether the service is capable of serving requests. Note that while many services are ready to use they might not be. ,Group 20249100,"Concerts, Musical festivals and Public events",[S-Cube Quality Reference Model (2012)],,,,
,,The extended to which local communities can access and use the digital platform effectively.,Group 20249330,Digital Local Communities,Adapted from SAF Toolkit,,,,
,,degree to which a system can be used by the people with the widest range of characteristics and capabilities  ,Group 20249400,Urban Agriculture,simplified from [ISO/IEC 25010:2011],,,,
,Resource Utilization,"Degree to which the amounts and types of resources used by a system, when performing its functions, meet requirements and minimizes energy and material consumption to reduce its environmental impact during operation. ",Group 20241000,Healthcare,[ISO/IEC 25010:2011],,X,,
,,,Group 20249400,Urban Agriculture,,,,,
,,"The extent to which a system uses computational resources such as memory, processing power, and storage while performing its functions.",Group 20241000,Healthcare,,X,,,
,,,Group 20249400,Urban Agriculture,,,,,
,,Ensures load distribution during peak/off-peak to avoid overload and optimize performace. ,Group 20241400,Urban Mobility,,X,,,
,Functional Correctness,Degree to which a system provides the correct results with the needed degree of precision,Group 20241000,Healthcare,[ISO/IEC 25010:2011],X,,,
,,,Group 20249400,Urban Agriculture,simplified from [ISO/IEC 25010:2011],,,,
,Time Behaviour,"The extent to which a system’s response, processing times, and throughput are optimized to reduce unnecessary energy consumption and support sustainable operation.",Group 20241000,Healthcare,[ISO/IEC 25010:2011],,X,,
,,,Group 20249400,Urban Agriculture,,,,,
,Data Privacy,"Degree to which the collection, storage, or use of personally identifiable information is protected",Group 20241000,Healthcare,[Condori-Fernadez et al. (2020)],,,,X
,,"Ensures that personally identifiable information of users is securely collected, stored, and utilized, aligning with privacy regulations",Group 20241400,Urban Mobility,,X,,,
,,Concerns related to the protection of sensitive farm data when using remote systems and IoT devices,Group 20242300,Urban Agriculture,"Lowenberg-DeBoer & Erickson, 2019",,,,X
,,The ability to ensure users' personal data is protected and kept confidential.,Group 20249330,Digital Local Communities,ISO 25010,X,,,
,Usability,Degree of how easy this system for specific users to achieve certain goals. ,Group 20241100,Healthcare,[ISO/IEC 25010:2011],,,,X
,,"The extend to which the system meets user needs effectively, efficiently, and pleasantly",Group 20242100,"Concerts, Musical festivals and Public events",[ISO/IEC 25022:2016],,,,
,Carbon Emission,The amount of carbon dioxide (CO2) or other greenhouse gases emitted by the process from raising per health issue to resolving and follow-up nutritional support over a period of time ,Group 20241100,Healthcare,[ISO/IEC 25010:2011],,X,,
,Economic Risk,Potential for financial loss caused by for example data leakage in a project ,Group 20241100,Healthcare,[ISO/IEC 25010:2011],,,X,
,,Ensure pricing remains affordable for lower income users while ensuring financial sustainability. ,Group 20241400,Urban Mobility,,,,,
,,Ensure pricing supports access for low-income and underserved groups.,,,,,,,X
,Maintainability,"The ease with which a software system can be modified to correct faults, the difficulty to maintain the system",Group 20241100,Healthcare,[ISO/IEC 25010:2011],X,,,
,,Ease with which the system can be updated or repaired without downtime. ,Group 20242100,"Concerts, Musical festivals and Public events",[IEEE 14764-2006],,,,
,,The degree to which a system can be restored to operational status with speed and ease in the event of failure,Group 20249310,Digital Local Communities,Adapted from [Gaonkar and Verlekar (2021)],,,,
,,Ease of updating and managing platform functions and features.,Group 20249330,,ISO 25010,,,,
,,,Group 20241700,Urban Mobility,[ISO/IEC 25010:2011],,,,
,Complexity,The difficulty to achieve the way to store information in a system,Group 20241100,Healthcare,[ISO/IEC 25010:2011],X,,,
,Energy Consumption,Degree to which the amounts of energy used by a software product or infrastructure when performing its functions meet requirements. ,Group 20241200,Education,Coral Calero et al. 2024,,X,,
,,"The energy required to operate farming systems and tools, contributing to operational costs and environmental technologies. ",Group 20242300,Urban Agriculture,"Smith et al, 2014",,,,
,Energy Cost,"The monetary expense incurred by buildings, systems, devices, or processes in an institution over a specific period",Group 20241200,Education,,,,X,
,,"Energy costs refer to the expenses associated with obtaining and using heating, such as heating, such as the cost of fuel oil, gas and coal. ",Group 20241500,Waste Management,IGI Global,,,,
,,Expenses borne by the Curators which can be associated to the utility costs to power on and cool down the devices ,Group 20242400,Art & Museum,,,,,
,Green Schools,A school where the community works together to support global sustainability and climate action ,Group 20241200,Education,Center for Green Schools (2023),,X,,
,Carbon Footprint,The measure of the total amount of carbon dioxide (CO2) and methane (CH4) emissions attributable to a system ,Group 20241200,Education,"Extended from [Wikipedia, Carbon footprint]",,X,,
,,"The total amount of greenhouse gases produced to directly and indirectly support human activities, usually expresses in equivalent tons of carbon dioxide (CO2)",Group 20241500,Waste Management,,,,,
,,"The total amount of greenhouse gases (including carbon dioxide and methane) that are generated by a defined population, system or activity ",Group 20241600,Digital Local Communities,,,,,
,,Greenhouse Gases (GHG) emitted by all stakeholders in the vicinity of the gallery and/or while participating in the digitalization journey ,Group 20242400,Art & Museum,Greenhouse Gas Protocol set by World Resources Protocol,,,,
,,Total of all the greenhouse gases emitted or removed in the processes associated with the extraction production transportation to site. ,Group 20249100,"Concerts, Musical festivals and Public events",[ISO/IEC 6707-3:2022],,,,
,,Measurement of CO2 emissions associated with digital and delivery operations. ,Group 20249330,Digital Local Communities,Adapted from SDG indicators,,,,
,,The environmental impact of system operations and logistics,Group 20249700,Urban Agriculture,,,,,
,Access to Funding,"The availability of financial resources for institutions, educators and students, which comes from various sources, including government budgets, private investments, non-governmental organizations and international grants. ",Group 20241200,Education,,,,X,
,Cost of Implementation,"The total financial outlay required to establish, upgrade, or maintain physical infrastructure or a software product in institutions",Group 20241200,Education,,,,X,
,Scalability,The degree to which the system can handle increasing workloads by expanding its resources,Group 20241200,Education,ISO/IEC 25002:2024,X,,,
,,"Ability of the charging system to scale up or down efficiently to meet changing demands, ensuring future-proofing of the infrastructure. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,,,
,,The capability of increasing the computing capacity of service provider's computer system and system's ability to process more. ,Group 20249100,"Concerts, Musical festivals and Public events",[S-Cube Quality Reference Model (2012)],,,,
,,The capacity of the e-commerce platform to handle increasing number of users and transactions without performance loss.,Group 20249330,Digital Local Communities,SAF Toolkit,,,,
,,the system's ability to handle growing number of users and transactions,Group 20249700,Urban Agriculture,,,,,
,,the ability to scale the digital museum's infrastructure to handle increasing numbers of users or artefact uploads without sacrificing performance,Group 2024 - 6,Art & Museum ,adapted from [Condori-Fernandez et al. (2020)],,,,
,Portability,The capability of a software product or infrastructure to be transferred from one environment to another,Group 20241200,Education,ISO/IEC 25002:2024,X,,,
,System Upgradability,The ability of a system to be improved or expanded,Group 20241200,Education,,X,,,
,Authentication Justice,"The fairness and transparency of processes involved in verifying an individuals identity, credentials, or access rights within a system",Group 20241200,Education,,,,,X
,Educational Equity,"The principle of fairness in education, ensuring that every student can achieve their educational potential regardless of their personal or social circumstances",Group 20241200,Education,"OECD, Education Equity",,,,X
,Cybersecurity and data privacy,"Degree to which data can be collected, stored, processed, and shared in a way that ensures individuals privacy is respected ",Group 20241200,Education,ISO/IEC 25002:2024,X,,,
,Compatibility,"The ability of the charging infrastructure to operate reliably and without conflict alongside other urban systems, such as smart grids or public utilities",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,The extent to which the charging infrastructure shares resources with other systems in a way that minimizes energy waste and environmental impact,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,X,,
,,"Ensures that the charging system can exchange information and work seamlessly with other systems, such as different EV models and payment gateways. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,The degree to which systems exchange information with each other and utilize the information,Group 20249310,Digital Local Communities,,,,,
,Context Completeness,Ensure the system functions reliably across various urban contexts and infrastructure conditions,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,Ensure the system meets diverse user needs and provides equitable access to charging services in all urban areas,,,,,,,X
,Flexibility,"Degree to which the system can be used beyond initial specified contexts, adapting to different user and environmental needs. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,Environmental Risk Mitigation,Shifts load to off-peal times to balance grid load and mitigate environmental impact,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,X,,
,,Degree to which a system mitigates the potential risk to property or the environment in the intended contexts of use,Group 20249200,Public Events,,,,,
,Health and Safety risk,Ensures the charging stations operate safely by minimizing technical faults and system-related hazards,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,"Protects users from harm during charging, promoting trust and physical safety in public spaces",,,,,,,X
,Functional Appropriateness,"The functions of the charging system facilitate the accomplishment of specified tasks, such as easy booking and payment processes. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,Modifiability,"The degree to which the system can be effectively maintained and updated by technicians, ensuring long-term usability and reliability",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,The degree to which a product or system can be effectively and efficiently modified without introducing defects or degrading existing product quality,Group 20249310,Digital Local Communities,,,,,
,,,Group 20249400,Urban Agriculture,,,,,
,,The ease with which the platform can adapt to new requirements and technologies. ,Group20249330,Digital Local Communities,SAF Toolkit,,,,
,Testability,"Effectiveness and efficiency with which test criteria can be established for a system, ensuring smooth upgrades and expansions. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,Adaptability,"The system's ability to effectively adapt to new environments, software updates, or evolving user needs without extensive modifications. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,Availability,"Ensures that the EV charging system is operational and accessible whenever users need it, contributing to reliability and user convenience. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,,,X
,,,Group 20249400,Urban Agriculture,,,,,
,,Degree to which a system or component is operational and accessible when required for use,Group 20249200,Public Events,,X,,,
,,,Group 20249310,Digital Local Communities,,,,,
,,,Group 20249400,Urban Agriculture,,,,,
,,,,,,,,,
,,"The system ensures that digital collections and exhibits are always available to users, ensuring continuous global access",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Fault Tolerance,"The system's ability to continue functioning correctly despite the presence of faults, ensuring minimal disruptions to users",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,,,X
,,,,,,X,,,
,Integrity,Ensures the EV charging system remains consistently operational and performs reliably when needed,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,X,,,
,,"Ensures the charging system is easily accessible to all users, promoting convenience and equitable access across different communities",,,,,,,X
,Operability,"Usera can easily locate and book charging slots, enhancing user experince. ",Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,,,X
,,The degree to which a system has attributes that make it easy to operate and control,Group 20249310,Digital Local Communities,,,,,
,,,Group 20249400,Urban Agriculture,,,,,
,Learnability,The degree to which users can learn to operate the charging system effectively ensuring ease of use ,Group 20241400,Urban Mobility,ISO/IEC 25010:2011,,,,X
,Interopability,"Degree to which a system, product or component can exchange information with other products and mutually use the information that has been exchanged. ",Group 20241500,Waste Management,ISO/IEC 25010:2011,X,,,
,,Degree to which a system can exchange information and operate with other system ,Group 20242100,"Concerts, Musical festivals and Public events",Adapted from [IEEE 610.12-1990],,,,
,Pollution,The presence or introduction into the environment of substances or contaminants that cause harm or discomfort to living organisms or damage the environment. ,Group 20241500,Waste Management,United Nations Environment Programme (UNEP),,X,,
,Economic Viability,"The term 'economically viable' is used to describe a project that provides an overall positive net economic contribution to society after all costs and benefits have been accounted for. this includes social, environmental and financial costs and benefits to society. ",Group 20241500,Waste Management,Hydropower Sustainability Guidelines,,,X,
,Fuel Consumption,"The quality of fuel used by a system, vehicle, or process over a specific period or distance, usually measured in liters per 100 kilometers or miles per gallon ",Group 20241500,Waste Management,U.S. Department of Energy (DOE),,,X,
,Operational Costs,"The expenses associated with the day-to-day functioning of a business, system, or facility, including maintenance, utilities, and staffing. ",Group 20241500,Waste Management,[ISO 15686-5:2017],,,X,
,Public Awareness,"The level of understanding and knowledge among the general public about a particular issue or set of issues, often influencing attitudes and behaviors",Group 20241500,Waste Management,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,,X
,Reusability,"Degree to which a system, product, or component can be used again in different applications or environments without modification conforms to the correct value or a standard. ",Group 20241500,Waste Management,[ISO/IEC/IEEE 24765:2010],,X,,
,Accuracy,"Degree to which the result of a measurement, calculation, or specification conforms to the correct value or a standard. ",Group 20241500,Waste Management,Oxford Languages,X,,,
,,Accuracy ensures that all information processed and prese,Group 20249330,Digital Local Communities,SAF Toolkit,,,,
,Public Health,"The science and practice of protecting and improving the health of a population through preventive measures, education, and the promotion of health lifestyle. ",Group 20241500,Waste Management,CDC Foundation,,,,X
,Contamination Level,Concentration of harmful substances or pollutants present in an environment or material. ,Group 20241500,Waste Management,Environmental Protection Agency (EPA),,X,,
,Sustainability,Avoidance of the depletion of natural resources in order to maintain an ecological balance. ,Group 20241500,Waste Management,Oxford Languages,,X,,
,,"The ability of digital e-commerce operations to minimize environmental impacts, especially through sustainable delivery. ",Group 20249330,Digital Local Communities,SAF Toolkit,,,,
,Energy Saving,Reduction in energy consumption resulting from the implementation of efficiency measures or the adoption of new technologies. ,Group 20241500,Waste Management,International Energy Agency (IEA),,X,,
,Public Space,"An area or place that is open and accessible to all people, regardless of gender, race, ethnicity, age, or socioeconomic level. ",Group 20241500,Waste Management,NU-Habitat,,,,X
,Usefulness,The extent to which the system effectively supports users in achieving their intended tasks and goals through its functionality.,Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,X,,,
,,"The extent to which users feel satisfied and supported in their goals, considering both the outcomes and impact of using the system in their context.",Group 20249310,,,,,,X
,Costs,"The value of money that has been used up to produce something. deliver a service, or purchase something. ",Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,X,
,,Impact of the public transport budget,Group 20241700,Urban Mobility,,,,,
,,The financial burden incurred in maintaining or upgrading farming technologies. ,Group 20242300,Urban Agriculture,"Lowenbreg-DeBoer & Erickson, 2019",,,,
,,The degree to which a system mitigates the potential risk to financial status in the intended contexts of use,Group 20249310,Digital Local Communities,ISO/IEC 25010:2011,,,,
,,The overall expenses associated with maintaining and operating the digital platform. ,Group 20249330,,SAF Toolkit,,,,
,,"the amount of the money that is needed to design, build and implement the system",Group 20249500,Public Transport,,,,,
,Convenience,A quality or situation that makes something easy or useful for someone by reducing the amount of work or time required to do something ,Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,,X
,Knowledge Sharing,"An activity through which knowledge (namely, information, skills, or expertise) is exchanged among local communities",Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,,X
,Social Cohesion,The extend of connectedness and solidarity among local communities,Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,,X
,Recycling rate,"The percentage of waste materials that are successfully separated, collected, and processed for reuse, relative to the total waste produced ",Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,X,,
,Tax Cost,"The monetary expense incurred by community residents based on the volume or weight of waste they generate, which is determined using weight sensors as part of the community's waste",Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,X,
,Cost (Maintainability),The money used during the repair or the maintenance events ,Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,X,
,Reliability,"Degree to which the system, including components like automated waste sorting, card authentication, and sensor-based technologies, is operational and accessible when needed, continues to function correctly despite faults, and is consistently optimized and tested to meet reliability needs. It also encompasses the system's ability to recover data and re-establish its desired state after failures. ",Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,X,,,
,,The extent to which the system remains consistently operational and available for use without unexpected downtime or failure.,Group 20241700,Urban Mobility,,,,,
,,Ability of the system to consistently provide accurate and timely information,Group 20242100,"Concerts, Musical festivals and Public events",[ISO/IEC 25024:2015],,,,
,,how consistently the system delivers services without failure,Group20249700,Urban Agriculture,,,,,
,Retailers' sales revenue,The total income that retailers team from selling goods or services to consumers over a specific period. This revenue reflects the value of all completed expenses such as operating costs or taxes. ,Group 20241600,Digital Local Communities,ISO/IEC 25010:2011,,,X,
,Safety,Overall safety of passengers,Group 20241700,Urban Mobility,ISO/IEC 25010:2011,,,,X
,Digital Inclusion,Availability of services for the digitally challenged ,Group 20241700,Urban Mobility,ISO/IEC 25010:2011,,,,X
,Environmental impact,Impact of the features on the environment,Group 20241700,Urban Mobility,ISO/IEC 25010:2011,,X,,
,Satisfaction,Passenger opinion of the services ,Group 20241700,Urban Mobility,ISO/IEC 25010:2011,,,,X
,,Degree to which a user is satisfied with their perceived achievement or pragmatic goals in regards to brand-name recognition. ,Group 20249200,Public Events,,,,,
,,Degree of user satisfaction  with the digital shopping experience provided by local businesses,Group 20249330,Digital Local Communities,ISO 25010,,,,
,Cost Efficiency,System's ability to save costs by automating tasks and reducing manual intervention,Group 20242100,"Concerts, Musical festivals and Public events",[IEEE 730-2014],,,X,
,Technical Scalability,Capability to handle increase use load or traffic without performance degradation,Group 20242100,"Concerts, Musical festivals and Public events",[ISO/IEC 25012:2008],X,,,
,Economic Scalability,Ability to increase capacity without significant increase in operational costs,Group 20242100,"Concerts, Musical festivals and Public events",[ISO/IEC 25012:2008],,,X,
,Inclusive accessibility,"Ease of use for all users, including those with disabilities, ensuring inclusiveness",Group 20242100,"Concerts, Musical festivals and Public events",[WCAG 2.1 Guidelines],,,,X
,Environmental Accessibility,"System's ability to provide clear navigation, minimizing unnecessary travel and emissions. ",Group 20242100,"Concerts, Musical festivals and Public events",[ISO 14001:2015],,X,,
,Social Security,"protection of users' privacy and data, ensuring trust in digital transactions. ",Group 20242100,"Concerts, Musical festivals and Public events",[NIST SP 800-53],,,,X
,Technical Security,Measures to ensure data protection and secure transactions. ,Group 20242100,"Concerts, Musical festivals and Public events",[NIST SP 800-53],X,,,
,Parking Experience,"The degree to which the system enhances the overall user experience by providing seamless and intuitive parking services, minimizing frustration and ensuring ease of use. ",Group 20242100,"Concerts, Musical festivals and Public events",[ISO 9241-210:2019],,,,X
,Water Consumptiion,"The total amount of water used in agricultural processes, critical for sustainable resource management. ",Group 20242300,Urban Agriculture,"FAO, 2017",,X,,
,Yield Quality,"The market value and nutritional quality of the harvested crop, which affects competitiveness and profitability",Group 20242300,Urban Agriculture,"Godfray et al, 2010",X,,,
,CO2 Emissions,"The release of carbon emissions due to the use of energy in farming operations, contributing to climate change",Group 20242300,Urban Agriculture,"Smith et al, 2014",,X,,
,,the amount of CO2 that is emitted in the air by public vehicles ,Group 20249500,Public Transport,,,,,
,Employment Opportunities,The impact of automation and technological upgrades on job availability in agriculture. ,Group 20242300,Urban Agriculture,"Sunding & Zilberman, 2001",,,,X
,Organic Waste,"The accumulation of organic matter waste such as crop residues, which can be reduced with optimized farming practices. ",Group 20242300,Urban Agriculture,"Bosco et al, 2019",,X,,
,Food Security,"The ability to produce sufficient, high-quality food to meet the demands of the population",Group 20242300,Urban Agriculture,"Godfray et al, 2010",,,,X
,Yield Price,the market price of crops based on their quality and supply-demand dynamics,Group 20242300,Urban Agriculture,"Godfray et al, 2010",,,X,
,Initial Investment,the upfront financial cost required for the implementation of new technologies in farming. ,Group 20242300,Urban Agriculture,"Lowenbreg-DeBoer & Erickson, 2019",,,X,
,Occupational Injuries,The risk of physical injury associated with manual labor in farming activities,Group 20242300,Urban Agriculture,"Sunding & Zilberman, 2001",,,,X
,Water Secutiry,the availability and sustainable management of water resources for agricultural peoduction,Group 20242300,Urban Agriculture,"Falkenmark & Rockstrom, 2006",,X,,
,Event Tourism Planning,Ad-hoc temporary special events catered specifically to the Crowd’s interests,Group 20242400,Art & Museum,,,,X,
,Tour Guide,Workers employed by the Curators to provide in-person guidance and education to the visiting Crowd,Group 20242400,Art & Museum,,,,,X
,Operational Inventories,"Devices, hardwares, and other IT assets to deliver the digitalised services for the Stakeholders",Group 20242400,Art & Museum,,,,X,
,Customer Inclusion,"Accessibility allows more inclusivity amongst di!erent people (e.g. blind people, deaf people, people in wheelchair)",Group 20242400,Art & Museum,,,,,X
,Operational Costs,"Expenses borne by the Curators for the day-to-day maintenance of the galleries, including investment and operation of inventories and salaries of all employees",Group 20242400,Art & Museum,,,,X,
,Multi-format Storage,Digital storage that can take multiple forms such as server systems or cloud,Group 20242400,Art & Museum,,X,,,
,Preservation of Exhibits,"Preservation of the knowledge about exhibits by making digital copies that can be stored, viewed and studied",Group 20242400,Art & Museum,,,,,X
,IT Headcount Investment,Expenses borne by the Stakeholders to train and employ workers to maintain IT-related inventories,Group 20242400,Art & Museum,,,,X,
,Employee Training,Employees need to be trained in using the new digital tools and potentially maintain them,Group 20242400,Art & Museum,,,,X,
,Gainful Employment,All workers spanning across di!erent industries o!ering di!erent skillsets,Group 20242400,Art & Museum,,,,,X
,Personal Privacy,Personally Identifiable Information (PII) that are collected by the Analytics Engine which could be used to profile an individual,Group 20242400,Art & Museum,European Union General Data Protection Regulation,,,,X
,Network,The network to internally host the digital product,Group 20242400,Art & Museum,,X,,,
,Marketing Data,Data collected and generated by the Analytics Engine to gauge the level of engagement among the Crowd,Group 20242400,Art & Museum,,,,X,
,Customer Engagement,"Due to the digitalized art pieces, customers can engage in new/di!erent ways with the art pieces",Group 20242400,Art & Museum,,,,,X
,Museum Income,Revenue generated by the Curators through the Crowd’s gallery tickets and merchandising purchases,Group 20242400,Art & Museum,,,,X,
,Tourism Revenue,Revenue generated by the Hospitality Industry and the government agencies through transactions related to Tourism activities,Group 20242400,Art & Museum,,,,X,
,Culture Appreciation,Level of interest shown by the Crowd to the di!erent o!erings of exhibitions and special events organised by the Curators,Group 20242400,Art & Museum,,,,,X
,Culture Preservation,"Level of interest shown by the Crowd to further study the exhibition’s subject matter and the enthusiasm to spread the knowledge to potential, not-yet-reachable Crowd",Group 20242400,Art & Museum,,,,,X
,Government Tax Revenue,Revenue generated by various government agencies through tari!s/taxes/percentages of transactional values in exchange for goods and services,Group 20242400,Art & Museum,Definition will vary across different jurisdictions; we shall allow the prevailing laws and regulations local to the galleries/museums to apply here,,,X,
,IoT Devices,"IoT devices are designed to not only collect and measure data but also to communicate with each other, enabling interconnected systems. This complexity makes their implementation technically challenging.",Group 20242400,Art & Museum,,X,,,
,Security,"Security is crucial for any network, especially when handling sensitive user data, as it safeguards privacy and prevents unauthorized access.",Group 20242400,Art & Museum,,,,,X
,,Ensuring the platform is protected against cyber threats and unauthorized access through robust technical measures.,Group 20249330,Digital Local Communities,ISO 25010,X,,,
,,Ensuring users feel confident that their personal data and activities on the platform are secure and respected.,,,,,,,X
,Paper Waste,discarded paper products,Group 20249100,"Concerts, music festivals, public events",[ISO/IEC 24161:2022,,X,,
,Plastic Waste,Discarded material which contains as an essential ingredient a high polymer ,Group 20249100,"Concerts, music festivals, public events",[ISO/IEC 24161:2022,,X,,
,Waste Reduction,Systematic actions and activities required in order to manage waste from its inception to its final disposal ,Group 20249100,"Concerts, music festivals, public events",[ISO/IEC 5020:2022],,X,,
,Reliance on Technology,The ability of a service to perform its required functions under stated conditions for a specified period of time ,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],X,,,
,Reduced Queues,Wait time for a service request before it is actually executed,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],,,,X
,Execution Time,Time taken by a service to process its sequence of activities,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],,,,X
,Cost Model,Defines a set of functions that transform resources (services) into costs,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],,,X,
,Data Security Risks,The capability of a system to protect data and control access to resources through technical safeguards and secure system design.,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],X,,,
,,The extent to which users feel confident that their data and digital interactions are protected from misuse or unauthorized access.,,,,,,,X
,Fraud Risk,Intentional misstatement made wrongfully or criminally for financial or peronal gain,Group 20249100,"Concerts, music festivals, public events",[ISO/IEC 14066:2023],,,X,
,User Inclusivity,It defines whether the service is capable of serving requests. Note that while many services are ready to use they might not be. ,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],,,,X
,Transaction Time,Time elapsed while a service is completing a transaction,Group 20249100,"Concerts, music festivals, public events",[S-Cube Quality Reference Model (2012)],,,X,
,Management Efficiency,Management resources expended in relation to the accuracy and completeness with which users achieve goals,Group 20249200,Public Events,[ISO/IEC 25010:2011],,,X,
,Spatial and temporal efficiency,Spatial and temporal resources expended in relation to the accuracy and completeness with which users achieve goals,Group 20249200,Public Events,[ISO/IEC 25010:2011],,,,X
,Digital-literacy iclusion,Degree to which a system can be used by people with the widest range of capabilities,Group 20249200,Public Events,[ISO/IEC 25010:2011],,,,X
,Geographical accessibility,Degree to which a system can be used by people with the widest range of characteristics,Group 20249200,Public Events,[ISO/IEC 25010:2011],,,,X
,Social Cohesion,The degree to which community groups exhibit solidarity and connectedness,Group 20249310,Digital Local Communities,Adapted from [Manca (2014)],,,,X
,Job Creation,The process of generating employment opportunities that contribute to economic growth and workforce expansion.,Group 20249310,Digital Local Communities,simplified from [Demetriades (2024)],,,X,
,,The creation of inclusive job opportunities aimed at improving livelihoods and integrating unemployed or marginalized individuals into the workforce.,,,,,,,X
,Energy Waste,The degree to which electricity or other forms of energy are produced but not used efficiently.,Group 20249310,Digital Local Communities,simplified from [Demetriades (2024)],,X,,
,Co-existence,"The degree to which a system can perform its required functionalities in an efficient manner while sharing a common environment and resources with other products, without having a detrimental impact on any other systems/technologies in place",Group 20249310,Digital Local Communities,[ISO/IEC 25010:2011],X,,,
,,,Group 20249400,Urban Agriculture,,,,,
,Pollution Risks,"the probability of harm to health of individuals, property or environment posed by the introduction of an undesirable substance into the eco system.",Group 20249310,Digital Local Communities,Adapted from [GEMET (2021)],,X,,
,Consumer Participation,The active involvement of individuals in activities and approaches that empower them and their communities to actively shape their own future and contribute to the well-being of their environment,Group 20249310,Digital Local Communities,Simplified from [Cousins (2024)],,,,X
,Regulatory Compliance,"The degree to which the system complies with the applicable laws, regulations, policies and other procedures, issued by governments and regulatory bodies",Group 20249310,Digital Local Communities,Adapted from [(MetricStream (n.d))],,,,X
,Confidentiality,The degree to which a system ensures that data are accessible only to those authorized to have access,Group 20249310,Digital Local Communities,[ISO/IEC 25010:2011],X,,,
,,,Group20249500,Public Transport,,,,,
,Authenticity,The degree to which the identity of a subject or resource can be proved to be the one claimed,Group 20249310,Digital Local Communities,[ISO/IEC 25010:2011],,,,X
,Error Reduction,Minimizing transactional errors to ensure smooth operations and user trust.,Group 20249330,Digital Local Communities,SAF Toolkit,X,,,
,Trust,Level of user confidence in using the e-commerce platform for transactions and information sharing.,Group 20249330,Digital Local Communities,Adapted from ISO 25010,,,,X
,,the degree to which a user or other stakeholder has confidence that a product or system will behave as intended,Group20249500,Public Transport,[ISO/IEC 25010:2011],,,,
,Business Equity,"Fair opportunities for all businesses to engage in the digital marketplace, regardless of size.",Group 20249330,Digital Local Communities,New Definition,,,X,
,Personalized Shopping Experience,Ability to tailor shopping recommendations based on user preferences and past behavior. ,Group 20249330,Digital Local Communities,New Definition,,,,X
,Interoperability,"Compatibility of the e-commerce platform with various devices, browsers, and other systems.",Group 20249330,Digital Local Communities,ISO 25010,X,,,
,,The degree to which a system can exchange information with other systems and use the information,Group 20249400,Urban Agriculture,simplified from [ISO/IEC 25010:2011],,,,
,,,Group20249500,Public Transport,,,,,
,Early Detection,The ability to identify potential issues or trends in user behavior before they escalate. ,Group 20249330,Digital Local Communities,New Definition,X,,,
,Accountability,"Transparency in business operations, ensuring fair and responsible practices.",Group 20249330,Digital Local Communities,Custom Definition,,,X,
